data;Taxa (% a.d);
15/05/2020;0.007945205;
18/05/2020;0.007945205;
19/05/2020;0.007945205;
20/05/2020;0.007945205;
21/05/2020;0.007945205;
22/05/2020;0.007945205;
25/05/2020;0.007945205;
26/05/2020;0.007945205;
27/05/2020;0.007945205;
28/05/2020;0.007945205;
29/05/2020;0.007945205;
01/06/2020;0.007945205;
02/06/2020;0.007945205;
03/06/2020;0.007945205;
04/06/2020;0.007945205;
05/06/2020;0.007945205;
08/06/2020;0.007945205;
09/06/2020;0.007945205;
10/06/2020;0.007945205;
12/06/2020;0.007945205;
15/06/2020;0.007945205;
16/06/2020;0.007945205;
17/06/2020;0.007945205;
18/06/2020;0.005890411;
19/06/2020;0.005890411;
22/06/2020;0.005890411;
23/06/2020;0.005890411;
24/06/2020;0.005890411;
25/06/2020;0.005890411;
26/06/2020;0.005890411;
29/06/2020;0.005890411;
30/06/2020;0.005890411;
01/07/2020;0.005890411;
02/07/2020;0.005890411;
03/07/2020;0.005890411;
06/07/2020;0.005890411;
07/07/2020;0.005890411;
08/07/2020;0.005890411;
09/07/2020;0.005890411;
10/07/2020;0.005890411;
13/07/2020;0.005890411;
14/07/2020;0.005890411;
15/07/2020;0.005890411;
16/07/2020;0.005890411;
17/07/2020;0.005890411;
20/07/2020;0.005890411;
21/07/2020;0.005890411;
22/07/2020;0.005890411;
23/07/2020;0.005890411;
24/07/2020;0.005890411;
27/07/2020;0.005890411;
28/07/2020;0.005890411;
29/07/2020;0.005890411;
30/07/2020;0.005890411;
31/07/2020;0.005890411;
03/08/2020;0.005890411;
04/08/2020;0.005890411;
05/08/2020;0.005890411;
06/08/2020;0.005205479;
07/08/2020;0.005205479;
10/08/2020;0.005205479;
11/08/2020;0.005205479;
12/08/2020;0.005205479;
13/08/2020;0.005205479;
14/08/2020;0.005205479;
17/08/2020;0.005205479;
18/08/2020;0.005205479;
19/08/2020;0.005205479;
20/08/2020;0.005205479;
21/08/2020;0.005205479;
24/08/2020;0.005205479;
25/08/2020;0.005205479;
26/08/2020;0.005205479;
27/08/2020;0.005205479;
28/08/2020;0.005205479;
31/08/2020;0.005205479;
01/09/2020;0.005205479;
02/09/2020;0.005205479;
03/09/2020;0.005205479;
04/09/2020;0.005205479;
08/09/2020;0.005205479;
09/09/2020;0.005205479;
10/09/2020;0.005205479;
11/09/2020;0.005205479;
14/09/2020;0.005205479;
15/09/2020;0.005205479;
16/09/2020;0.005205479;
17/09/2020;0.005205479;
18/09/2020;0.005205479;
21/09/2020;0.005205479;
22/09/2020;0.005205479;
23/09/2020;0.005205479;
24/09/2020;0.005205479;
25/09/2020;0.005205479;
28/09/2020;0.005205479;
29/09/2020;0.005205479;
30/09/2020;0.005205479;
01/10/2020;0.005205479;
02/10/2020;0.005205479;
05/10/2020;0.005205479;
06/10/2020;0.005205479;
07/10/2020;0.005205479;
08/10/2020;0.005205479;
09/10/2020;0.005205479;
13/10/2020;0.005205479;
14/10/2020;0.005205479;
15/10/2020;0.005205479;
16/10/2020;0.005205479;
19/10/2020;0.005205479;
20/10/2020;0.005205479;
21/10/2020;0.005205479;
22/10/2020;0.005205479;
23/10/2020;0.005205479;
26/10/2020;0.005205479;
27/10/2020;0.005205479;
28/10/2020;0.005205479;
29/10/2020;0.005205479;
30/10/2020;0.005205479;
03/11/2020;0.005205479;
04/11/2020;0.005205479;
05/11/2020;0.005205479;
06/11/2020;0.005205479;
09/11/2020;0.005205479;
10/11/2020;0.005205479;
11/11/2020;0.005205479;
12/11/2020;0.005205479;
13/11/2020;0.005205479;
16/11/2020;0.005205479;
17/11/2020;0.005205479;
18/11/2020;0.005205479;
19/11/2020;0.005205479;
23/11/2020;0.005205479;
24/11/2020;0.005205479;
25/11/2020;0.005205479;
26/11/2020;0.005205479;
27/11/2020;0.005205479;
30/11/2020;0.005205479;
01/12/2020;0.005205479;
02/12/2020;0.005205479;
03/12/2020;0.005205479;
04/12/2020;0.005205479;
07/12/2020;0.005205479;
08/12/2020;0.005205479;
09/12/2020;0.005205479;
10/12/2020;0.005205479;
11/12/2020;0.005205479;
14/12/2020;0.005205479;
15/12/2020;0.005205479;
16/12/2020;0.005205479;
17/12/2020;0.005205479;
18/12/2020;0.005205479;
21/12/2020;0.005205479;
22/12/2020;0.005205479;
23/12/2020;0.005205479;
28/12/2020;0.005205479;
29/12/2020;0.005205479;
30/12/2020;0.005205479;
04/01/2021;0.005205479;
05/01/2021;0.005205479;
06/01/2021;0.005205479;
07/01/2021;0.005205479;
08/01/2021;0.005205479;
11/01/2021;0.005205479;
12/01/2021;0.005205479;
13/01/2021;0.005205479;
14/01/2021;0.005205479;
15/01/2021;0.005205479;
18/01/2021;0.005205479;
19/01/2021;0.005205479;
20/01/2021;0.005205479;
21/01/2021;0.005205479;
22/01/2021;0.005205479;
26/01/2021;0.005205479;
27/01/2021;0.005205479;
28/01/2021;0.005205479;
29/01/2021;0.005205479;
01/02/2021;0.005205479;
02/02/2021;0.005205479;
03/02/2021;0.005205479;
04/02/2021;0.005205479;
05/02/2021;0.005205479;
08/02/2021;0.005205479;
09/02/2021;0.005205479;
10/02/2021;0.005205479;
11/02/2021;0.005205479;
12/02/2021;0.005205479;
17/02/2021;0.005205479;
18/02/2021;0.005205479;
19/02/2021;0.005205479;
22/02/2021;0.005205479;
23/02/2021;0.005205479;
24/02/2021;0.005205479;
25/02/2021;0.005205479;
26/02/2021;0.005205479;
01/03/2021;0.005205479;
02/03/2021;0.005205479;
03/03/2021;0.005205479;
04/03/2021;0.005205479;
05/03/2021;0.005205479;
08/03/2021;0.005205479;
09/03/2021;0.005205479;
10/03/2021;0.005205479;
11/03/2021;0.005205479;
12/03/2021;0.005205479;
15/03/2021;0.005205479;
16/03/2021;0.005205479;
17/03/2021;0.005205479;
18/03/2021;0.007260274;
19/03/2021;0.007260274;
22/03/2021;0.007260274;
23/03/2021;0.007260274;
24/03/2021;0.007260274;
25/03/2021;0.007260274;
26/03/2021;0.007260274;
29/03/2021;0.007260274;
30/03/2021;0.007260274;
31/03/2021;0.007260274;
01/04/2021;0.007260274;
05/04/2021;0.007260274;
06/04/2021;0.007260274;
07/04/2021;0.007260274;
08/04/2021;0.007260274;
09/04/2021;0.007260274;
12/04/2021;0.007260274;
13/04/2021;0.007260274;
14/04/2021;0.007260274;
15/04/2021;0.007260274;
16/04/2021;0.007260274;
19/04/2021;0.007260274;
20/04/2021;0.007260274;
22/04/2021;0.007260274;
23/04/2021;0.007260274;
26/04/2021;0.007260274;
27/04/2021;0.007260274;
28/04/2021;0.007260274;
29/04/2021;0.007260274;
30/04/2021;0.007260274;
03/05/2021;0.007260274;
04/05/2021;0.007260274;
05/05/2021;0.007260274;
06/05/2021;0.009315068;
07/05/2021;0.009315068;
10/05/2021;0.009315068;
11/05/2021;0.009315068;
12/05/2021;0.009315068;
13/05/2021;0.009315068;
14/05/2021;0.009315068;
17/05/2021;0.009315068;
18/05/2021;0.009315068;
19/05/2021;0.009315068;
20/05/2021;0.009315068;
21/05/2021;0.009315068;
24/05/2021;0.009315068;
25/05/2021;0.009315068;
